loudness,acousticness
-6.542,0.211
-4.215,0.0266
-5.819,0.000172
-3.442,0.0179
-3.107,0.0217
-15.372,0.837
-9.367,0.468
-12.401,0.895
-7.45,0.67
-3.682,0.127
-3.244,0.00756
-3.004,0.0459
-6.516,0.13
-9.935,0.0102
-10.489,0.738
-7.34,0.315
-8.417,0.133
-4.196,0.000595
-8.558,0.00229
-3.103,0.00511
-5.042,0.00135
-3.585,0.0128
-8.022,0.579
-7.34,0.0562
-9.159,0.238
-4.04,0.000917
-11.361,0.195
-10.413,0.765
-3.52,0.00131
-5.03,0.163
-3.318,0.000671
-4.751,0.017
-8.072,0.00125
-9.026,0.81
-10.631,0.849
-7.122,0.00717
-2.543,0.00791
-5.253,0.0007
-2.757,0.00129
-4.574,0.0307
-5.691,0.0227
-15.605,0.784
-4.262,0.000996
-3.026,0.000237
-3.777,0.00045
-9.461,0.0678
-7.445,0.0133
-3.468,0.00164
-4.803,0.0779
-4.151,0.000264
-4.494,0.01
-10.233,0.184
-3.701,0.705
-6.506,0.00178
-3.265,0.00316
-5.333,0.156
-3.127,0.00666
-5.316,0.000297
-8.433,0.15
-10.065,0.558
-7.291,0.0124
-5.285,0.0141
-4.378,5.86e-05
-4.023,0.449
-7.981,0.000332
-5.053,0.000552
-7.682,0.103
-9.18,5.59e-05
-4.838,0.000194
-3.668,0.000684
-3.65,0.000192
-7.666,0.114
-7.484,0.373
-6.069,0.00752
-8.347,0.502
-2.644,0.0817
-3.871,0.00076
-5.315,0.0416
-5.477,0.00797
-6.733,0.0537
-7.54,0.105
-5.81,1.51e-05
-4.239,0.000715
-4.385,0.134
-13.925,0.245
-11.473,0.95
-3.275,0.0136
-8.911,0.663
-8.756,0.123
-6.336,0.00203
-8.799,0.294
-5.594,0.257
-5.122,0.00662
-5.344,0.0328
-6.003,0.0144
-4.225,0.00434
-5.433,0.00935
-6.812,0.0701
-8.456,0.0307
-4.025,1.83e-05
-6.013,0.107
-2.997,0.0177
-5.916,0.0656
-5.416,0.00289
-4.928,0.000318
-11.439,0.0371
-9.651,0.618
-5.157,0.00461
-7.018,0.231
-4.038,0.000613
-7.332,0.172
-8.638,0.119
-6.766,0.301
-13.959,0.894
-5.935,0.209
-9.039,0.00106
-4.119,0.00184
-4.146,0.000821
-7.571,0.601
-4.476,0.00483
-4.419,0.0014
-10.533,0.446
-2.688,0.00662
-2.938,8.51e-05
-4.563,0.00336
-11.354,0.416
-12.017,0.385
-9.637,0.695
-5.519,0.0481
-7.307,0.0343
-5.119,0.000769
-6.006,0.0335
-10.383,0.274
-6.86,0.443
-9.854,0.403
-4.95,0.000983
-5.176,0.000618
-3.647,0.114
-4.49,0.000213
-2.865,0.00591
-4.501,0.00107
-5.55,6.06e-05
-4.807,0.013
-9.226,0.0129
-8.207,0.163
-8.821,0.000423
-6.472,0.0404
-9.208,0.0726
-4.594,0.017
-3.405,0.0199
-5.66,0.00457
-6.483,0.000419
-4.054,0.00189
-5.703,0.000218
-4.494,0.0022
-5.71,0.0223
-4.478,4.78e-05
-2.941,0.0029
-3.892,0.0104
-4.217,0.000918
-3.868,0.000336
-10.397,0.0341
-5.565,0.0466
-3.761,0.0932
-3.405,0.00347
-9.285,0.277
-10.71,0.00162
-4.406,0.00254
-5.852,0.0226
-3.936,0.00146
-10.49,0.704
-6.509,0.00114
-3.902,0.00468
-2.983,0.0425
-6.646,0.028
-2.838,0.000683
-2.657,0.00298
-5.587,1.9e-05
-1.654,4.93e-05
-7.426,5.91e-06
-8.237,0.0127
-6.254,5.15e-05
-3.245,0.00039
-9.283,0.237
-2.966,0.00349
-4.192,0.00705
-5.793,0.000178
-5.593,0.00121
-8.613,0.456
-4.68,0.00838
-4.881,0.0359
-5.877,2.23e-05
-4.605,0.000209
-8.412,0.00425
-7.398,0.114
-8.184,0.269
-4.237,0.00919
-6.595,0.00187
-3.425,0.169
-5.647,0.0605
-5.359,0.0909
-6.584,0.12
-6.508,0.07
-4.664,0.00018
-4.341,0.00391
-4.129,0.000248
-9.367,0.000813
-7.952,0.395
-7.611,3.35e-05
-2.474,0.0716
-6.777,0.0722
-3.994,0.00022
-4.54,0.00204
-8.178,0.22
-10.202,0.0607
-9.919,0.00244
-8.354,0.257
-4.212,6.2e-05
-7.241,0.00561
-6.196,0.00768
-10.845,0.274
-8.393,0.536
-6.457,0.323
-9.809,0.924
-5.411,0.0116
-1.909,0.00252
-7.677,0.000332
-3.617,0.000281
-10.064,0.304
-4.66,0.096
-10.238,0.874
-7.46,0.00425
-6.909,0.0424
-9.167,0.597
-7.095,0.402
-6.558,0.308
-5.995,0.0172
-3.249,8.74e-05
-9.553,0.347
-8.884,0.406
-4.957,0.0284
-6.562,0.771
-5.072,0.00025
-3.474,0.000247
-4.438,2.57e-05
-3.598,0.000526
-11.165,0.975
-5.084,0.000563
-9.197,0.464
-5.274,0.0509
-10.059,0.37
-5.401,0.000431
-7.399,0.132
-17.86,0.765
-7.247,0.681
-7.294,0.0725
-19.846,0.219
-4.45,0.0143
-7.48,0.000631
-6.187,0.0933
-8.008,0.000155
-9.362,0.00327
-7.626,0.0673
-7.296,0.329
-3.544,0.31
-5.764,0.0129
-5.943,0.0691
-4.822,4.58e-05
-4.199,0.0146
-5.693,0.00892
-5.738,0.127
-8.122,0.694
-6.442,0.296
-4.563,0.0132
-4.001,0.00804
-7.879,0.229
-5.718,0.00165
-6.104,0.0427
-2.695,0.0102
-4.096,0.0174
-11.792,0.125
-5.102,0.000426
-1.458,0.454
-2.921,0.085
-5.106,0.00378
-7.533,0.00834
-5.371,0.00172
-3.1,2.08e-05
-8.607,0.964
-5.926,0.0116
-3.803,0.0311
-5.153,0.000696
-3.948,0.000172
-4.696,0.0142
-5.83,0.00841
-2.935,0.012
-10.204,0.142
-2.72,0.000698
-9.381,6.28e-05
-2.219,0.009
-4.938,0.0264
-4.618,0.0417
-4.299,0.00598
-4.682,3.32e-05
-6.68,0.0339
-8.526,0.453
-4.276,1.83e-05
-4.647,0.000249
-11.925,0.74
-4.49,0.00075
-6.056,0.353
-7.102,0.00242
-3.131,0.00039
-7.684,0.779
-6.035,0.000101
-6.13,0.551
-13.673,0.882
-5.107,0.00222
-7.332,0.032
-9.371,0.0688
-12.683,0.637
-7.024,0.849
-7.837,0.00417
-5.932,0.00811
-5.034,0.0814
-5.414,0.00251
-6.606,0.626
-9.506,0.0886
-5.749,8.67e-05
-5.41,0.081
-4.17,0.00132
-6.119,0.022
-4.588,0.315
-2.323,0.00116
-4.82,2.38e-05
-7.762,0.169
-5.487,0.656
-6.098,0.0484
-6.167,0.0123
-3.548,0.0511
-4.82,0.00744
-12.315,0.689
-9.129,0.0626
-8.681,0.194
-4.612,1.62e-05
-3.666,0.0175
-5.893,0.144
-6.097,0.119
-4.893,0.0216
-1.743,0.704
-3.59,0.205
-5.526,0.0338
